100 3
160,222,60
25,233,47
177,237,148
165,49,133
171,208,67
186,166,123
251,4,10
12,229,50
132,166,13
192,23,77
192,141,154
63,2,142
46,141,230
180,38,238
139,136,83
212,129,184
29,13,105
139,100,31
46,179,201
255,34,98
99,224,76
201,123,15
176,189,55
34,76,242
198,207,225
71,197,112
241,82,197
239,81,44
166,45,136
169,73,97
239,51,21
132,171,129
224,52,115
205,20,206
71,30,125
211,54,236
97,155,251
153,219,207
110,172,254
2,165,30
198,48,252
117,24,10
161,59,223
173,10,150
133,51,196
29,112,93
235,181,11
89,10,89
85,139,165
143,36,21
141,18,221
137,193,25
47,39,166
124,135,150
16,162,176
9,207,67
79,174,100
167,92,230
1,54,38
165,165,56
233,21,49
20,64,228
133,112,83
10,200,27
2,217,105
208,80,54
144,172,35
39,197,161
221,174,3
108,24,2
51,248,28
110,67,78
0,70,222
21,14,229
65,41,8
149,121,75
27,177,132
75,134,155
103,14,57
79,78,175
245,18,212
40,121,248
92,200,90
59,229,119
134,140,36
1,235,33
206,151,10
120,69,138
232,83,174
24,18,118
69,69,82
191,76,26
91,67,207
160,212,170
200,27,156
102,201,208
156,62,28
18,9,159
16,246,3
56,189,9
