10000 64
63498,40546,34097,49917,66317,37498,43250,58139,61141,35830,59412,75586,38241,64323,66613,40824,64707,27874,23723,21746,43351,10830,58686,57700,76015,43771,22899,8646,69172,52442,7963,65675,53842,79114,67543,29701,53743,4782,34563,34168,18539,39671,80355,56032,1048,2070,25569,54011,98733,87507,36779,9335,16564,76491,52988,36247,95570,71497,82929,21378,26454,27109,74931,70407
44248,86573,9909,59860,44774,32921,20063,45653,74606,65213,63694,11720,99820,67092,46052,51220,80322,7453,90658,34471,52593,12355,57984,18703,92704,95133,53256,61731,66164,88160,31405,55650,94352,4562,74386,5280,18415,30944,11438,36586,86203,68405,62985,68016,38695,15020,16489,52233,43851,14151,55412,57418,61840,20221,35018,64619,97899,41968,32716,6115,52755,2829,44318,87101
81173,24074,28124,94693,73637,28273,60196,77821,34082,55822,5457,47237,33256,99432,95171,50819,74908,46664,32994,87185,50356,10088,6541,15971,75697,58671,52612,94947,30484,18121,60639,28256,44316,33890,18723,66193,75257,81754,38513,47036,72558,93493,52429,59641,36683,62539,48215,10375,49161,92927,85337,80133,96578,82948,33825,2304,99402,62767,36910,9314,35224,8164,3046,45749
50886,42976,57822,94920,54262,30407,76719,7287,83232,4300,48022,19310,54788,34077,45090,40820,31977,91883,11606,30326,62639,6545,14946,13946,94076,67597,99117,11554,96151,57252,62530,62909,42080,1060,15485,95517,64981,49268,57580,6211,38364,5391,8636,46250,52602,62491,66522,2833,18890,67712,28363,54147,51445,31930,82823,3689,91251,5538,63019,98138,30114,92884,19922,20525
21360,23209,1308,99178,35766,26343,83676,84244,25574,68839,69273,21582,94775,64018,23466,65096,83197,32402,31156,89060,98236,55235,30395,56161,32265,4247,93547,46038,83822,60335,80645,68588,74749,12314,9448,69472,91954,31827,96403,18725,94050,31186,22442,98853,87593,96655,24932,12269,36442,12006,94165,50121,72778,84104,17089,43194,90478,3166,10490,30992,92971,66739,36209,3852
50134,77464,59298,71355,71458,21156,56475,60082,34491,27750,99987,33121,36627,12657,17595,11184,47772,43053,95479,16272,21209,1590,95283,8040,15449,9060,6608,70789,89472,53362,2860,2469,93376,25716,21885,50669,65135,69412,17694,7475,46408,89744,57350,43446,36161,50970,33483,18089,76265,1529,22911,13959,45044,37815,63927,26490,73735,51627,67153,21095,34482,5079,48674,35084
63894,45191,21823,53375,80304,31331,80195,85466,66613,66947,20170,10465,39098,95456,82614,9032,34479,20538,70724,54154,55288,37958,26770,17602,8463,30905,37669,20008,33961,12262,73507,34746,34307,49128,55475,80881,87467,83477,64555,96495,10412,54556,82617,773,51760,98783,11548,96284,35926,20001,93859,70799,52024,43955,78204,31542,88830,83051,16932,44086,73014,90325,59192,56262
66687,99538,97441,81165,9104,85401,39583,92955,75206,74154,50550,22897,50772,33690,60348,57190,36379,3927,54784,46800,40248,13300,73900,16626,97110,96632,93552,51809,86505,55935,73709,75026,29560,94076,42908,21488,31344,11263,76068,96050,48936,75174,30775,60141,10476,37198,39034,48607,85507,8079,8271,73565,59599,85644,33685,87557,75547,37222,56706,58787,60740,1010,16547,58314
10885,47132,90989,75368,14790,23657,49170,39001,36564,20614,23529,34136,33080,94235,47169,41312,88359,16258,32742,6815,71486,52976,22069,14290,46223,8395,14329,35240,20607,89894,14125,40169,5574,50094,16155,48220,13248,22161,49137,83227,6705,75257,75227,20819,89261,85150,46823,94523,16184,44473,72295,90588,63768,18974,61697,54379,50612,35513,78591,61306,52339,57340,17059,34877
2071,96715,97949,5305,41886,83185,36463,19886,48623,56916,40625,8359,1176,31153,47299,86340,70681,99220,66425,34115,30802,67399,23119,37600,92236,73792,10676,39235,18076,83547,15406,60888,9733,92545,7369,5059,64307,18736,18728,82270,7451,47993,80560,79502,73141,28065,24438,47183,41855,1401,60715,54587,90267,28297,83821,87808,55057,65494,46589,65734,62415,85299,51097,94598
